page_url,section,image_id,filename,image_title,image_description,image_type,aspect_ratio,status,current_source,alt,notes
/solutions/irrigation-melioration/,scheme,irrigation-system-scheme-01,irrigation-system-scheme.webp,Схема трубопроводной системы орошения,"Техническая схема цепочки от источника и водозабора через насосную станцию, магистраль и распределительные ветви к гидрантам и дождевальным машинам.",scheme,16:9,NEEDED,,Схема трубопроводной системы орошения,Текущая HTML/CSS-схема остается до подготовки изображения
/constructions/mobile-pipelines/,hero,mobile-pipelines-hero-01,mobile-pipeline-industrial-site.webp,Мобильный трубопровод на промышленном объекте,"Наземная секционная трубопроводная линия на промышленной или горной площадке; видны протяженная трасса, разъемные стыки, насосное подключение и рабочее окружение.",photo,16:9,NEEDED,,Мобильный трубопровод на промышленном объекте,Без бытового контекста; не показывать вымышленные маркировки
/constructions/mobile-pipelines/,materials,mobile-pipelines-steel-01,mobile-pipeline-steel-pipe.webp,Стальная секция мобильного трубопровода,"Стальная трубная секция мобильной линии с подготовленными концами для разъемного соединения; изделие целиком на нейтральном фоне.",product,16:9,INSTALLED,/assets/img/solutions/dewatering/steel-pipe.webp,Стальная труба мобильного трубопровода,Временно используется общее изображение
/constructions/mobile-pipelines/,materials,mobile-pipelines-hdpe-01,mobile-pipeline-hdpe.webp,ПНД трубы мобильной линии,"Секции ПНД-труб для временной наземной трассы с видимым механическим переходом или адаптером.",product,16:9,INSTALLED,/assets/img/solutions/dewatering/hdpe-pipes.webp,ПНД трубы мобильной линии,Временно используется общее изображение
/constructions/mobile-pipelines/,materials,mobile-pipelines-layflat-01,mobile-pipeline-layflat.webp,Плоскосворачиваемый мобильный трубопровод,"Развернутый напорный плоскосворачиваемый рукав на строительной или горной площадке; видны соединение и направление прокладки.",photo,16:9,INSTALLED,/assets/img/solutions/dewatering/layflat-hoses.webp,Плоскосворачиваемые рукава мобильного трубопровода,Желательна будущая замена на промышленный сюжет
/constructions/mobile-pipelines/,materials,mobile-pipelines-combined-01,mobile-pipeline-combined.webp,Комбинированный мобильный трубопровод,"Стык жесткой трубы, гибкого рукава и переходного элемента в одной временной промышленной трассе.",photo,16:9,INSTALLED,/assets/img/solutions/dewatering/combined-pipeline.webp,Комбинированный мобильный трубопровод,
/constructions/mobile-pipelines/,brs,mobile-pipelines-brs-01,mobile-pipeline-hinged-clamp.webp,БРС на шарнирном хомуте,"Быстроразъемное соединение на шарнирном хомуте для жестких секций мобильного трубопровода; видны корпус, хомут и уплотняемый стык.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/brs-hinged-clamp-coupling.webp,БРС на шарнирном хомуте для мобильного трубопровода,Показывать изделие полностью
/constructions/mobile-pipelines/,components,mobile-pipelines-bend-01,mobile-pipeline-bend.webp,Отвод мобильной линии,"Фасонный отвод мобильного трубопровода с полностью видимыми присоединительными концами.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/pipe-bend.webp,Отвод мобильного трубопровода,
/constructions/mobile-pipelines/,components,mobile-pipelines-tee-01,mobile-pipeline-tee.webp,Тройник мобильной линии,"Тройник для временного ответвления мобильного трубопровода; показаны все три присоединительных конца.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/pipe-tee.webp,Тройник мобильного трубопровода,
/constructions/mobile-pipelines/,components,mobile-pipelines-adapter-01,mobile-pipeline-adapter.webp,Переход мобильной линии,"Переход между трубами, рукавами или оборудованием разных присоединительных размеров.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/pipe-adapter.webp,Переход мобильного трубопровода,
/constructions/mobile-pipelines/,components,mobile-pipelines-end-cap-01,mobile-pipeline-end-cap.webp,Заглушка мобильной линии,"Концевая заглушка с присоединительным узлом, совместимым с разборной трубной секцией; нейтральный фон.",product,4:3,NEEDED,,Заглушка мобильной линии,Показать присоединительную часть
/constructions/mobile-pipelines/,components,mobile-pipelines-flange-01,mobile-pipeline-flange-adapter.webp,Фланцевый адаптер,"Адаптер для перехода с разборной мобильной линии на фланец насоса или трубопроводной арматуры; видны обе стороны.",product,4:3,NEEDED,,Фланцевый адаптер мобильного трубопровода,Без вымышленных обозначений
/constructions/mobile-pipelines/,components,mobile-pipelines-valve-01,mobile-pipeline-valve.webp,Запорная арматура мобильной линии,"Запорная арматура для отключения участка мобильного трубопровода; корпус и присоединительные патрубки полностью видны.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/shutoff-valve.webp,Запорная арматура мобильного трубопровода,
/constructions/mobile-pipelines/,components,mobile-pipelines-flexible-01,mobile-pipeline-flexible-connection.webp,Гибкое подключение мобильной линии,"Гибкий рукав с концевыми соединениями для подключения насоса или компенсации смещения жесткой трубной трассы.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/flexible-hose.webp,Гибкое подключение мобильного трубопровода,
